Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bosnia and Herzegovina,BIH,60.2762195122,60.9415853659,61.5679756098,62.1623414634,62.7336829268,63.292,63.8448536585,64.3972926829,64.9498536585,65.5044878049,66.0616341463,66.6212195122,67.1751463415,67.7133902439,68.2269268293,68.7002682927,69.116902439,69.4729268293,69.7679512195,70.0075853659,70.2329512195,70.4988536585,70.8232926829,71.1897317073,71.5527317073,71.7605365854,71.6237804878,71.0595853659,70.0817317073,68.792,67.4463902439,66.3762682927,65.8432195122,65.9937804878,66.8334634146,68.2292682927,69.9351219512,71.622195122,73.0329512195,74.0595609756,74.6691707317,74.921097561,74.9871463415,75.0104878049,75.0410731707,75.1123902439,75.2309512195,75.3704878049,75.5109756098,75.6558780488,75.8066829268,75.9624146341
Belarus,BLR,67.708097561,68.2126585366,68.6358292683,68.9920731707,69.2899268293,69.5374146341,69.7346097561,69.8816585366,69.9826341463,70.0451463415,70.0792439024,70.093,70.0924146341,70.0824390244,70.0680731707,70.0482682927,70.015902439,69.9674146341,69.9063170732,69.8416341463,69.8020243902,69.8191707317,69.9082195122,70.0646585366,70.2719268293,70.9926829268,71.5495121951,70.9902439024,71.3414634146,71.587804878,70.8365853659,70.3780487805,70.0219512195,68.9707317073,68.7682926829,68.4609756098,68.612195122,68.4609756098,68.4073170732,67.9073170732,68.912195122,68.5073170732,68.056097561,68.5536585366,68.956097561,68.8512195122,69.4048780488,70.2034146341,70.456097561,70.4073170732,70.4048780488,70.6512195122
Belize,BLZ,59.9613658537,60.5127804878,61.0743414634,61.6460487805,62.2248292683,62.8061219512,63.3853414634,63.9543902439,64.5077073171,65.039195122,65.5462682927,66.0263170732,66.480902439,66.912097561,67.324,67.7187560976,68.102097561,68.4781463415,68.8470243902,69.2087560976,69.5663658537,69.9197560976,70.2642682927,70.5892682927,70.8831707317,71.1269268293,71.2985365854,71.3880243902,71.3943658537,71.323,71.1812439024,70.9819512195,70.7500487805,70.5166097561,70.3047560976,70.1446829268,70.0621463415,70.0619268293,70.1437804878,70.3063902439,70.5390487805,70.8244390244,71.1369512195,71.4533902439,71.7594878049,72.0463170732,72.3123658537,72.5637317073,72.8077073171,73.0432439024,73.2704878049,73.487804878
Bolivia,BOL,42.6681219512,42.9768780488,43.2891463415,43.6034146341,43.9211707317,44.2364146341,44.5431219512,44.8407804878,45.1364146341,45.4395609756,45.7662682927,46.1356341463,46.5601707317,47.0504146341,47.6078780488,48.2329756098,48.920195122,49.6529268293,50.4136341463,51.189804878,51.9684390244,52.7431219512,53.5083658537,54.2602195122,54.9896585366,55.6921219512,56.3650487805,57.0103658537,57.6295121951,58.2194390244,58.7785853659,59.3024146341,59.7929756098,60.2517804878,60.682902439,61.0908780488,61.4802926829,61.8572195122,62.2262195122,62.5918292683,62.9546097561,63.3155365854,63.6716097561,64.0202682927,64.3635121951,64.7007804878,65.033097561,65.361902439,65.6857073171,66.0054634146,66.3197073171,66.6269268293
Brazil,BRA,54.6921463415,55.1696341463,55.633097561,56.08,56.5102926829,56.9238780488,57.323195122,57.7117560976,58.0946097561,58.4752926829,58.8569756098,59.2443658537,59.6375365854,60.0355121951,60.438195122,60.8397804878,61.2354390244,61.6203902439,61.9925121951,62.3538292683,62.7060487805,63.0564634146,63.4104878049,63.7739268293,64.1479268293,64.5325365854,64.9261463415,65.3235365854,65.7220731707,66.1192195122,66.515,66.9099756098,67.3057317073,67.700804878,68.0946585366,68.4827317073,68.8619512195,69.2312195122,69.5874634146,69.9296829268,70.2573902439,70.5696585366,70.8695609756,71.1596097561,71.4417804878,71.7185365854,71.9917804878,72.262902439,72.5338780488,72.8041707317,73.0753170732,73.3473658537
Barbados,BRB,60.7666097561,61.2296341463,61.6816341463,62.1226097561,62.553097561,62.9730731707,63.3825365854,63.7825121951,64.1724878049,64.5544634146,64.9274390244,65.2914146341,65.6478780488,65.9958536585,66.3373170732,66.6702682927,66.9962195122,67.3141463415,67.6250731707,67.9289756098,68.2258780488,68.5162926829,68.8007073171,69.0796097561,69.3520243902,69.6189512195,69.8813658537,70.137804878,70.3887073171,70.6341219512,70.8745365854,71.1094390244,71.3393414634,71.5642439024,71.7851463415,72.0010487805,72.2124390244,72.4198292683,72.6237317073,72.8236097561,73.0194878049,73.2128780488,73.4017560976,73.5876585366,73.7700487805,73.9489512195,74.1248292683,74.2972195122,74.4675853659,74.6354390244,74.8017804878,74.9671463415
Brunei Darussalam,BRN,62.4575609756,63.036097561,63.594,64.1267560976,64.633902439,65.1159512195,65.5754390244,66.0173902439,66.4468780488,66.8664146341,67.2764878049,67.6781219512,68.0707804878,68.4524390244,68.8241219512,69.186804878,69.541,69.8857073171,70.2224146341,70.5506585366,70.871902439,71.1856585366,71.4919268293,71.7912195122,72.0845121951,72.3703170732,72.6511219512,72.9259512195,73.1942926829,73.4581463415,73.7164878049,73.9693414634,74.2166829268,74.4590243902,74.6963658537,74.9297073171,75.1580243902,75.3823658537,75.6022195122,75.8185853659,76.0309512195,76.238804878,76.4426341463,76.6424878049,76.8393170732,77.0326829268,77.2246097561,77.416097561,77.606195122,77.7978780488,77.9886585366,78.1810243902
Bhutan,BTN,32.3593658537,32.7310243902,33.0941463415,33.4522195122,33.8157560976,34.2007317073,34.6266585366,35.1070243902,35.6513414634,36.263097561,36.9422926829,37.6844146341,38.4714878049,39.2874878049,40.1194146341,40.9542926829,41.7825853659,42.6008292683,43.406,44.1936341463,44.9617073171,45.7107317073,46.4472439024,47.1772195122,47.9066585366,48.6390731707,49.3814390244,50.1337560976,50.8984878049,51.6756829268,52.4643170732,53.2624146341,54.0644878049,54.8655609756,55.6636097561,56.4546585366,57.2377073171,58.0127560976,58.7792926829,59.537804878,60.290804878,61.0447560976,61.800195122,62.5541219512,63.3005121951,64.0264146341,64.7183170732,65.3657317073,65.9626829268,66.5076829268,67.0046829268,67.4607317073
Botswana,BWA,50.5362439024,50.8931463415,51.2350487805,51.5679512195,51.898804878,52.2445853659,52.6212195122,53.0417073171,53.5125121951,54.0351463415,54.6091219512,55.2269756098,55.8747560976,56.5325121951,57.1902682927,57.836097561,58.4625121951,59.0665121951,59.6440731707,60.1896829268,60.7098292683,61.2164878049,61.7116097561,62.1851463415,62.6170731707,62.9852682927,63.2660731707,63.4315365854,63.4512195122,63.300804878,62.9355121951,62.3181463415,61.4529268293,60.3665609756,59.0937073171,57.6784390244,56.1703170732,54.6351219512,53.1406585366,51.7422439024,50.4896341463,49.4111707317,48.4996829268,47.7454878049,47.1554390244,46.7269512195,46.4479756098,46.296097561,46.2503658537,46.3002682927,46.4402926829,46.6689512195
Central African Republic,CAF,36.4826341463,36.8957073171,37.3187804878,37.7603414634,38.2253658537,38.7258536585,39.2727560976,39.8685609756,40.5127560976,41.2023658537,41.9374146341,42.7164878049,43.526097561,44.3457560976,45.1544390244,45.9295853659,46.6555853659,47.3153902439,47.8904634146,48.3633414634,48.711097561,48.9158292683,48.9816341463,48.9176829268,48.7345365854,48.441804878,48.0515609756,47.5877804878,47.080902439,46.5589268293,46.0478292683,45.5680731707,45.1280731707,44.7377560976,44.4100243902,44.1487804878,43.9514878049,43.8071219512,43.7126097561,43.6708780488,43.6923170732,43.7873902439,43.9635853659,44.223902439,44.5678292683,44.9959268293,45.508195122,46.0912439024,46.7291219512,47.4049268293,48.0987317073,48.7930487805
Canada,CAN,71.1331707317,71.346097561,71.3670731707,71.3807317073,71.7763414634,71.872195122,72.0043902439,72.207804878,72.3534146341,72.5014634146,72.7004878049,73.0292682927,72.933902439,73.1626829268,73.2375609756,73.5217073171,73.856097561,74.2156097561,74.5297560976,74.8663414634,75.0780487805,75.4785365854,75.6804878049,76.0363414634,76.3175609756,76.3034146341,76.44,76.7395121951,76.8092682927,77.0656097561,77.3770731707,77.5534146341,77.3207317073,77.6851219512,77.8619512195,77.9775609756,78.2304878049,78.4804878049,78.6624390244,78.8829268293,79.2365853659,79.487804878,79.5902439024,79.8390243902,80.1414634146,80.2926829268,80.643902439,80.3698780488,80.5432195122,80.717097561,80.8934878049,81.0683170732
Switzerland,CHE,71.3134146341,71.6448780488,71.196097561,71.1875609756,72.077804878,72.2017073171,72.3356097561,72.6365853659,72.5902439024,72.6126829268,73.0202439024,73.1307317073,73.6443902439,73.9409756098,74.2870731707,74.6656097561,74.7853658537,75.2380487805,75.1873170732,75.466097561,75.4592682927,75.6931707317,76.033902439,76.0312195122,76.6085365854,76.7336585366,76.8990243902,77.1975609756,77.2265853659,77.4212195122,77.2424390244,77.5146341463,77.806097561,78.0853658537,78.35,78.4170731707,78.896097561,79.0795121951,79.3243902439,79.5804878049,79.6804878049,80.1804878049,80.3853658537,80.5365853659,81.087804878,81.2365853659,81.4902439024,81.7414634146,81.9926829268,82.043902439,82.2463414634,82.6951219512
Channel Islands,CHI,70.6397804878,70.7344146341,70.830097561,70.9333170732,71.0475853659,71.1719268293,71.2993414634,71.4218536585,71.5359756098,71.6407073171,71.7390487805,71.836,71.9380487805,72.0501707317,72.1773658537,72.3246097561,72.493902439,72.6852439024,72.8931219512,73.1160243902,73.3449512195,73.5739268293,73.7959268293,74.0064634146,74.2065365854,74.3981219512,74.5877317073,74.7818292683,74.9854634146,75.1985853659,75.4182439024,75.6369268293,75.8496829268,76.053,76.2473902439,76.4373414634,76.629902439,76.8315365854,77.0472195122,77.2779268293,77.5246097561,77.7852195122,78.0532439024,78.3231463415,78.5884390244,78.8431219512,79.0802195122,79.2972682927,79.4948292683,79.6713902439,79.8314878049,79.9786341463
Chile,CHL,57.0215365854,57.4086829268,57.8245121951,58.2695121951,58.7437073171,59.2440731707,59.7651219512,60.3033170732,60.8556097561,61.421,62.0044390244,62.6123658537,63.2477804878,63.9131463415,64.605,65.322804878,66.0655609756,66.823804878,67.5845853659,68.3354634146,69.0555121951,69.7283414634,70.3434878049,70.8964390244,71.3867073171,71.8182439024,72.2025121951,72.5558780488,72.8932439024,73.2225365854,73.5451463415,73.8579756098,74.1550243902,74.4367804878,74.7092926829,74.9866097561,75.286804878,75.6175121951,75.9792682927,76.3661219512,76.7585609756,77.1310487805,77.4615121951,77.7379268293,77.959804878,78.1372195122,78.2897560976,78.4429756098,78.6174146341,78.8185853659,79.0504634146,79.3065121951
China,CHN,43.465804878,43.7807560976,44.7126585366,46.331,48.5808780488,51.2914390244,54.2041219512,57.0123902439,59.4688536585,61.4511707317,62.9062439024,63.8722439024,64.5214634146,65.0032926829,65.3792926829,65.6995853659,65.9944390244,66.2640487805,66.5137317073,66.7622926829,67.0236097561,67.2976585366,67.572097561,67.8365121951,68.092902439,68.3412926829,68.5821707317,68.8155365854,69.0423902439,69.2622439024,69.4715609756,69.6613170732,69.832,69.9906585366,70.1478292683,70.3291707317,70.5628292683,70.863902439,71.2348780488,71.6687073171,72.1407317073,72.6197804878,73.0696097561,73.465097561,73.7937073171,74.053902439,74.2563170732,74.4240731707,74.5798292683,74.7316341463,74.8850243902,75.042
Cote d'Ivoire,CIV,36.8724146341,37.5630731707,38.2338292683,38.8801707317,39.505097561,40.1244146341,40.7619268293,41.4369512195,42.161,42.932097561,43.7434390244,44.5798292683,45.4160243902,46.2312195122,47.0094634146,47.7422195122,48.4248780488,49.0616585366,49.655902439,50.2040487805,50.7090731707,51.1744878049,51.602902439,51.9883902439,52.3224878049,52.5941219512,52.7916829268,52.9041707317,52.918195122,52.8274390244,52.6089268293,52.2397317073,51.7271219512,51.094,50.371097561,49.5966585366,48.8092439024,48.0560487805,47.3850243902,46.8355609756,46.453902439,46.2731219512,46.2835853659,46.4629512195,46.791,47.2322926829,47.7426585366,48.2737073171,48.7866341463,49.2568292683,49.6752926829,50.0475609756
